datetime,open,high,low,close,volume
2024-09-10 09:07:00,2001.0,2001.0,2001.0,2001.0,1
2024-09-10 09:19:00,2003.0,2003.0,2003.0,2003.0,1
2024-09-10 09:24:00,2001.0,2001.0,2001.0,2001.0,181
2024-09-10 09:26:00,2001.0,2001.0,2001.0,2001.0,19
2024-09-10 09:39:00,1900.0,1900.0,1900.0,1900.0,10
2024-09-10 09:40:00,1900.0,1900.0,1900.0,1900.0,10
2024-09-10 09:43:00,1900.0,1900.0,1900.0,1900.0,109
2024-09-10 10:02:00,2000.0,2000.0,2000.0,2000.0,13
2024-09-10 10:03:00,2000.0,2000.0,2000.0,2000.0,1
2024-09-10 10:12:00,2000.0,2000.0,2000.0,2000.0,10
2024-09-10 10:17:00,1902.0,1999.0,1902.0,1999.0,3
2024-09-10 10:20:00,1998.0,1998.0,1998.0,1998.0,1
2024-09-10 10:26:00,1910.0,1910.0,1910.0,1910.0,20
2024-09-10 10:27:00,1910.0,1993.0,1910.0,1993.0,980
2024-09-10 10:28:00,1994.0,1994.0,1994.0,1994.0,11
2024-09-10 10:30:00,1990.0,1990.0,1990.0,1990.0,1
2024-09-10 10:33:00,2000.0,2000.0,2000.0,2000.0,100
2024-09-10 10:36:00,1939.0,1939.0,1939.0,1939.0,21
2024-09-10 10:40:00,1939.0,1939.0,1939.0,1939.0,191
2024-09-10 10:41:00,1939.0,1939.0,1939.0,1939.0,9
2024-09-10 10:42:00,1909.0,1909.0,1909.0,1909.0,20
2024-09-10 10:44:00,1938.0,1938.0,1938.0,1938.0,21
2024-09-10 10:50:00,1909.0,1909.0,1909.0,1909.0,21
2024-09-10 10:55:00,1909.0,1909.0,1909.0,1909.0,21
2024-09-10 10:56:00,1909.0,1909.0,1909.0,1909.0,100
2024-09-10 10:58:00,1909.0,1909.0,1909.0,1909.0,1
2024-09-10 11:00:00,1909.0,1909.0,1909.0,1909.0,100
2024-09-10 11:01:00,1909.0,1909.0,1900.0,1900.0,40
2024-09-10 11:25:00,1910.0,1910.0,1910.0,1910.0,5
2024-09-10 11:34:00,1998.0,1998.0,1998.0,1998.0,9
2024-09-10 11:37:00,1998.0,1999.0,1998.0,1999.0,11
2024-09-10 12:17:00,1910.0,1910.0,1910.0,1910.0,38
2024-09-10 12:29:00,1954.0,1954.0,1954.0,1954.0,25
2024-09-14 09:52:00,1990.0,1990.0,1990.0,1990.0,1
2024-09-14 10:32:00,1950.0,1950.0,1950.0,1950.0,20
2024-09-14 10:36:00,1950.0,1950.0,1950.0,1950.0,23
2024-09-14 10:56:00,1950.0,1950.0,1950.0,1950.0,10
2024-09-14 11:05:00,1940.0,1940.0,1940.0,1940.0,10
